posid;ordid;artid;quantity;totalprice
1;1;200031;11;2347.40
2;1;500202;12;240.00
3;1;200013;13;5296.20
4;1;100013;8;5820.00
5;2;500006;10;400.00
6;2;100007;10;6984.00
7;2;500103;2;100.00
8;2;500003;9;63.00
9;3;200021;2;760.00
10;3;100001;13;8827.00
11;4;500004;11;66.00
12;5;100017;10;7469.00
13;5;100013;14;10185.00
14;5;400001;8;560.00
15;5;200023;1;380.00
16;6;300021;10;3395.00
17;6;100017;7;5228.30
18;7;400003;5;300.00
19;7;500005;6;48.00
20;7;500204;8;120.00
21;8;200031;5;1067.00
22;8;500005;11;88.00
23;9;300012;1;390.00
24;9;200032;3;660.00
25;10;500015;12;96.00
26;10;400003;12;720.00
27;10;100031;13;5044.00
28;11;200021;7;2580.20
29;11;100031;2;800.00
30;12;500008;6;564.00
31;12;100006;14;9098.60
32;13;500103;14;700.00
33;13;300031;6;1164.00
34;13;500011;4;16.00
35;14;100001;7;4753.00
36;15;500105;1;70.00
37;16;100014;14;9506.00
38;16;100031;8;3104.00
39;16;500003;1;7.00
40;17;500006;9;360.00
41;17;300011;12;4539.60
42;18;100002;3;1891.50
43;18;100031;8;3104.00
44;18;100004;4;2522.00
45;19;300001;12;4306.80
46;19;400001;10;700.00
47;20;500201;2;80.00
48;21;500005;2;16.00
49;22;500203;7;245.00
50;22;500028;12;1164.00
51;22;500012;5;21.50
52;23;200012;1;420.00
53;24;100001;13;8827.00
54;25;100016;13;9079.20
55;25;200003;12;4656.00
56;25;500001;9;67.50
57;25;200023;2;760.00
58;26;400001;8;560.00
59;27;500010;7;280.00
60;27;100008;2;1299.80
61;27;500201;10;400.00
62;27;100016;3;2095.20
63;28;200022;4;1474.40
64;28;300021;5;1697.50
65;29;200011;10;4074.00
66;29;500006;8;320.00
67;29;100015;6;4481.40
68;29;100014;6;4074.00
69;30;100018;14;9777.60
70;30;500204;8;120.00
71;31;200002;2;800.00
72;31;300012;1;390.00
73;32;500203;3;105.00
74;32;500011;2;8.00
75;33;500010;12;480.00
76;33;500028;5;500.00
77;33;100023;12;8148.00
78;34;100031;3;1164.00
79;34;500301;7;56.00
80;34;100007;5;3492.00
81;34;100002;11;6935.50
82;35;500012;14;60.20
83;35;200013;7;2851.80
84;35;200001;11;4268.00
85;36;300031;10;1940.00
86;36;200013;12;4888.80
87;37;500012;3;12.90
88;37;100008;14;9098.60
89;37;100012;8;5432.00
90;38;100014;5;3395.00
91;38;500103;13;650.00
92;38;200001;14;5432.00
93;39;300031;11;2134.00
94;39;100017;9;6722.10
95;40;500204;1;15.00
96;40;100021;1;700.00
97;41;500006;5;200.00
98;41;500012;2;8.60
99;41;500105;5;350.00
100;41;100002;10;6305.00
101;42;500103;10;500.00
102;42;100021;4;2716.00
103;43;500001;13;97.50
104;44;500013;2;60.00
105;44;200013;6;2444.40
106;44;400003;9;540.00
107;45;500002;14;700.00
108;45;500006;7;280.00
109;45;200001;6;2328.00
110;46;500007;5;100.00
111;46;500001;13;97.50
112;46;100012;14;9506.00
113;47;100018;3;2095.20
114;47;400002;1;75.00
115;48;400003;4;240.00
116;48;500204;7;105.00
117;49;500202;3;60.00
118;49;200023;7;2580.20
119;49;100011;12;8730.00
120;50;100007;4;2793.60
121;50;500006;1;40.00
122;50;100018;2;1396.80
123;51;100017;14;10456.60
124;52;200002;1;400.00
125;52;500003;2;14.00
126;52;300021;10;3395.00
127;52;100008;2;1299.80
128;53;100005;12;8380.80
129;53;100011;8;5820.00
130;53;200012;3;1222.20
131;54;100003;8;5432.00
132;54;500008;5;470.00
133;54;200001;9;3492.00
134;55;100003;3;2037.00
135;55;500201;3;120.00
136;56;100002;6;3783.00
137;57;200001;12;4656.00
138;57;500102;8;400.00
139;57;500106;11;330.00
140;57;100011;4;2910.00
141;58;100008;7;4549.30
142;58;300021;11;3734.50
143;59;100021;1;700.00
144;60;200001;13;5044.00
145;61;100003;7;4753.00
146;61;100017;5;3734.50
147;61;100007;9;6285.60
148;62;500006;12;480.00
149;62;100015;1;770.00
150;62;500014;10;120.00
151;62;200021;11;4054.60
152;63;100007;6;4190.40
153;63;300002;2;740.00
154;63;500013;7;210.00
155;63;500001;1;7.50
156;63;500004;8;48.00
157;63;500105;3;210.00
158;64;100005;12;8380.80
159;64;500001;7;52.50
160;64;500028;4;400.00
161;65;500001;6;45.00
162;65;300001;9;3230.10
163;66;100004;14;8827.00
164;66;500203;5;175.00
165;67;500010;4;160.00
166;68;300011;13;4917.90
167;68;100022;2;1358.00
168;68;500203;1;35.00
169;69;500009;6;33.00
170;69;200013;13;5296.20
171;70;100001;3;2037.00
172;70;200001;4;1552.00
173;70;200032;6;1280.40
174;70;300011;11;4161.30
175;71;300031;9;1746.00
176;71;100003;10;6790.00
177;72;500003;14;98.00
178;72;300012;13;4917.90
179;72;100008;2;1299.80
180;73;100007;7;4888.80
181;73;300031;2;400.00
182;73;100015;14;10456.60
183;73;200001;3;1164.00
184;74;500201;12;480.00
185;74;500302;7;56.00
186;74;100013;7;5092.50
187;75;500012;1;4.30
188;75;500203;7;245.00
189;75;500007;2;40.00
190;75;100031;11;4268.00
191;76;500105;5;350.00
192;77;500302;1;8.00
193;78;200021;4;1474.40
194;78;200013;8;3259.20
195;78;300002;1;370.00
196;79;500104;8;480.00
197;79;200014;10;4074.00
198;80;500301;6;48.00
199;81;500010;11;440.00
200;81;500011;13;52.00
201;81;500009;14;77.00
202;82;500028;12;1164.00
203;82;200003;6;2328.00
204;82;500007;4;80.00
205;83;500106;14;420.00
206;83;100015;10;7469.00
207;83;200002;14;5432.00
208;84;500106;1;30.00
209;85;100013;6;4365.00
210;86;500011;8;32.00
211;86;500203;10;350.00
212;86;200023;1;380.00
213;86;200021;1;380.00
214;87;500202;13;260.00
215;88;300011;8;3026.40
216;88;100006;7;4549.30
217;88;500012;3;12.90
218;88;200001;10;3880.00
219;89;200023;9;3317.40
220;89;500201;5;200.00
221;89;500003;12;84.00
222;90;500102;3;150.00
223;90;200004;7;2716.00
224;91;500013;3;90.00
225;91;200022;5;1843.00
226;91;500015;8;64.00
227;92;100023;2;1358.00
228;92;500011;10;40.00
229;92;400001;6;420.00
230;92;200004;11;4268.00
231;92;500006;8;320.00
232;93;100007;3;2095.20
233;93;500001;12;90.00
234;94;100001;6;4074.00
235;95;100005;5;3492.00
236;95;500301;8;64.00
237;96;500105;3;210.00
238;96;100013;1;750.00
239;97;100003;14;9506.00
240;97;200002;6;2328.00
241;97;500013;7;210.00
242;97;200011;11;4481.40
243;97;500010;11;440.00
244;98;100032;10;3880.00
245;98;200002;12;4656.00
246;98;500014;2;24.00
247;98;500007;9;180.00
248;99;500006;11;440.00
249;100;200014;12;4888.80
250;100;100003;11;7469.00
251;101;400003;10;600.00
252;102;500202;4;80.00
253;102;200023;14;5160.40
254;102;100017;7;5228.30
255;103;100002;2;1261.00
256;103;500104;2;120.00
257;104;500002;12;600.00
258;104;500008;10;940.00
259;105;200001;12;4656.00
260;105;300001;13;4665.70
261;105;500028;1;100.00
262;106;500014;1;12.00
263;106;100018;2;1396.80
264;106;100014;2;1358.00
265;107;300002;11;3947.90
266;107;500103;11;550.00
267;107;100014;3;2037.00
268;107;500105;3;210.00
269;107;200022;4;1474.40
270;108;500012;10;43.00
271;108;500008;6;564.00
272;109;100013;11;8002.50
273;109;200013;7;2851.80
274;110;300002;13;4665.70
275;110;500014;2;24.00
276;110;400003;4;240.00
277;111;100018;8;5587.20
278;112;500002;7;350.00
279;112;200012;1;420.00
280;113;500002;6;300.00
281;113;500001;12;90.00
282;114;200032;10;2134.00
283;114;500105;13;910.00
