ordid;orderdate;custid;staffid
1;2002-01-01;205;1
2;2002-01-01;204;3
3;2002-01-01;118;1
4;2002-01-01;110;3
5;2002-01-01;1;8
6;2002-01-01;6;1
7;2002-01-01;113;4
8;2002-01-01;204;3
9;2002-01-01;107;8
10;2002-01-02;102;7
11;2002-01-02;109;8
12;2002-01-02;103;7
13;2002-01-02;109;8
14;2002-01-02;102;8
15;2002-01-03;110;9
16;2002-01-03;119;8
17;2002-01-03;202;8
18;2002-01-03;105;3
19;2002-01-03;111;3
20;2002-01-03;205;9
21;2002-01-04;2;3
22;2002-01-04;202;8
23;2002-01-04;114;7
24;2002-01-04;202;6
25;2002-01-04;3;4
26;2002-01-05;116;7
27;2002-01-05;117;1
28;2002-01-05;117;1
29;2002-01-05;115;8
30;2002-01-05;113;1
31;2002-01-05;3;3
32;2002-01-05;3;3
33;2002-01-07;201;4
34;2002-01-07;118;7
35;2002-01-07;115;6
36;2002-01-07;115;4
37;2002-01-07;117;3
38;2002-01-08;105;9
39;2002-01-08;5;3
40;2002-01-08;5;9
41;2002-01-08;102;9
42;2002-01-08;205;3
43;2002-01-08;101;5
44;2002-01-08;118;1
45;2002-01-08;119;2
46;2002-01-08;119;2
47;2002-01-08;201;4
48;2002-01-08;119;5
49;2002-01-09;115;3
50;2002-01-09;108;2
51;2002-01-09;2;9
52;2002-01-09;116;1
53;2002-01-09;110;1
54;2002-01-09;4;3
55;2002-01-09;111;6
56;2002-01-10;201;9
57;2002-01-10;203;2
58;2002-01-10;120;4
59;2002-01-10;6;4
60;2002-01-10;109;5
61;2002-01-10;107;2
62;2002-01-11;203;4
63;2002-01-11;117;1
64;2002-01-11;111;5
65;2002-01-11;117;5
66;2002-01-11;201;6
67;2002-01-12;5;7
68;2002-01-12;112;2
69;2002-01-12;107;4
70;2002-01-12;203;8
71;2002-01-12;120;6
72;2002-01-12;119;7
73;2002-01-12;203;4
74;2002-01-12;107;6
75;2002-01-14;107;3
76;2002-01-14;101;3
77;2002-01-14;101;5
78;2002-01-14;104;8
79;2002-01-14;105;4
80;2002-01-14;204;6
81;2002-01-14;108;3
82;2002-01-14;106;9
83;2002-01-15;107;2
84;2002-01-15;5;3
85;2002-01-15;116;8
86;2002-01-15;2;4
87;2002-01-15;115;6
88;2002-01-16;118;8
89;2002-01-16;117;5
90;2002-01-16;4;7
91;2002-01-16;6;8
92;2002-01-16;201;4
93;2002-01-16;116;6
94;2002-01-16;4;3
95;2002-01-16;116;5
96;2002-01-17;204;7
97;2002-01-17;114;6
98;2002-01-17;3;3
99;2002-01-17;116;7
100;2002-01-17;115;2
101;2002-01-17;2;6
102;2002-01-18;108;5
103;2002-01-18;1;6
104;2002-01-18;205;2
105;2002-01-18;106;9
106;2002-01-18;119;4
107;2002-01-18;6;8
108;2002-01-18;114;9
109;2002-01-19;108;4
110;2002-01-19;109;8
111;2002-01-19;116;9
112;2002-01-19;116;2
113;2002-01-19;108;8
114;2002-01-19;120;7
115;2002-01-19;103;3
116;2002-01-19;4;2
117;2002-01-19;113;8
118;2002-01-19;106;4
119;2002-01-19;5;4
120;2002-01-21;204;9
121;2002-01-21;103;8
122;2002-01-21;4;4
123;2002-01-21;114;8
124;2002-01-21;105;9
125;2002-01-21;4;3
126;2002-01-21;102;3
127;2002-01-22;205;4
128;2002-01-22;110;1
129;2002-01-22;112;1
130;2002-01-22;104;6
131;2002-01-22;102;6
132;2002-01-23;119;8
133;2002-01-23;101;3
134;2002-01-23;116;2
135;2002-01-23;111;9
136;2002-01-23;110;3
137;2002-01-23;120;7
138;2002-01-24;120;4
139;2002-01-24;204;3
140;2002-01-24;106;7
141;2002-01-24;107;3
142;2002-01-25;111;5
143;2002-01-25;117;3
144;2002-01-25;203;9
145;2002-01-25;110;8
146;2002-01-25;116;4
147;2002-01-26;113;5
148;2002-01-26;116;3
149;2002-01-26;103;2
150;2002-01-28;108;5
151;2002-01-28;109;3
152;2002-01-28;2;1
153;2002-01-28;102;2
154;2002-01-28;111;7
155;2002-01-28;113;7
156;2002-01-28;4;9
157;2002-01-29;112;7
158;2002-01-29;4;9
159;2002-01-29;104;8
160;2002-01-29;204;1
161;2002-01-29;201;8
162;2002-01-30;205;6
163;2002-01-30;105;4
164;2002-01-30;3;4
165;2002-01-31;118;9
166;2002-01-31;106;6
167;2002-01-31;105;2
168;2002-01-31;103;2
169;2002-01-31;112;2
170;2002-01-31;201;1
171;2002-02-01;109;6
172;2002-02-01;107;6
173;2002-02-01;101;2
174;2002-02-01;104;8
175;2002-02-02;106;2
176;2002-02-02;119;5
177;2002-02-02;116;1
178;2002-02-02;104;3
179;2002-02-02;109;6
180;2002-02-02;3;1
181;2002-02-02;102;3
182;2002-02-02;4;8
183;2002-02-04;102;6
184;2002-02-04;118;3
185;2002-02-04;113;2
186;2002-02-04;103;4
187;2002-02-04;111;2
188;2002-02-04;114;9
189;2002-02-04;201;4
190;2002-02-04;1;9
191;2002-02-05;102;5
192;2002-02-05;203;7
193;2002-02-05;116;1
194;2002-02-05;203;5
195;2002-02-05;1;8
196;2002-02-05;112;6
197;2002-02-05;110;4
198;2002-02-06;115;8
199;2002-02-06;3;7
200;2002-02-06;1;4
201;2002-02-06;109;8
202;2002-02-06;110;6
203;2002-02-06;101;5
204;2002-02-07;6;1
205;2002-02-07;107;6
206;2002-02-07;106;2
207;2002-02-07;118;9
208;2002-02-07;119;3
209;2002-02-07;110;3
210;2002-02-08;204;8
211;2002-02-08;105;2
212;2002-02-08;119;2
213;2002-02-08;6;9
214;2002-02-09;4;6
215;2002-02-09;113;7
216;2002-02-09;203;4
217;2002-02-09;112;1
218;2002-02-09;4;8
219;2002-02-09;114;8
220;2002-02-09;203;7
221;2002-02-09;109;9
222;2002-02-11;117;1
223;2002-02-11;115;8
224;2002-02-11;106;6
225;2002-02-11;114;3
226;2002-02-11;114;5
227;2002-02-12;118;9
228;2002-02-12;106;1
229;2002-02-12;204;4
230;2002-02-12;3;8
231;2002-02-12;113;5
232;2002-02-13;203;4
233;2002-02-13;203;8
234;2002-02-13;111;6
235;2002-02-13;117;5
236;2002-02-13;112;3
237;2002-02-13;112;7
238;2002-02-13;102;1
239;2002-02-13;201;4
240;2002-02-13;103;7
241;2002-02-14;204;8
242;2002-02-14;204;4
243;2002-02-14;5;3
244;2002-02-14;3;6
245;2002-02-14;3;5
246;2002-02-14;6;8
247;2002-02-15;1;5
248;2002-02-15;203;6
249;2002-02-15;113;2
250;2002-02-15;117;4
251;2002-02-15;103;1
252;2002-02-16;203;3
253;2002-02-16;112;5
254;2002-02-16;117;4
255;2002-02-16;120;6
256;2002-02-16;102;9
257;2002-02-16;102;2
258;2002-02-16;107;6
259;2002-02-16;117;7
260;2002-02-16;105;6
261;2002-02-18;103;6
262;2002-02-18;114;1
263;2002-02-18;203;2
264;2002-02-18;115;7
265;2002-02-18;106;4
266;2002-02-18;2;3
267;2002-02-18;107;7
268;2002-02-18;102;6
269;2002-02-18;4;4
270;2002-02-18;104;6
271;2002-02-19;105;9
272;2002-02-19;204;2
273;2002-02-19;5;2
274;2002-02-19;109;4
275;2002-02-19;203;5
276;2002-02-19;201;9
277;2002-02-19;111;3
278;2002-02-20;201;4
279;2002-02-20;1;9
280;2002-02-20;108;4
281;2002-02-20;201;4
282;2002-02-20;110;8
283;2002-02-21;105;2
284;2002-02-21;113;4
285;2002-02-21;116;5
286;2002-02-21;106;9
287;2002-02-21;102;9
288;2002-02-21;101;2
289;2002-02-21;203;2
290;2002-02-21;205;5
291;2002-02-21;104;5
292;2002-02-21;119;1
293;2002-02-22;109;8
294;2002-02-22;102;2
295;2002-02-22;2;7
296;2002-02-22;4;4
297;2002-02-22;102;2
298;2002-02-22;1;1
299;2002-02-22;117;6
300;2002-02-22;6;4
301;2002-02-22;119;1
302;2002-02-23;117;3
303;2002-02-23;101;6
304;2002-02-25;6;4
305;2002-02-25;2;7
306;2002-02-25;1;8
307;2002-02-25;101;8
308;2002-02-25;106;9
309;2002-02-26;117;5
310;2002-02-26;115;4
311;2002-02-26;202;9
312;2002-02-26;201;8
313;2002-02-26;104;8
314;2002-02-27;117;6
315;2002-02-27;6;2
316;2002-02-27;4;8
317;2002-02-27;113;6
318;2002-02-27;114;7
319;2002-02-27;5;2
